user_id	u_age_c	u_height_f	u_weight_f	u_gender_c	u_prefer_exercises_sports_c	u_exercise_frequency_c	u_average_duration_c	u_interested_new_sports_c	u_fitness_goals_1_c	u_fitness_goals_2_c	u_fitness_goals_3_c	u_fitness_goals_4_c	u_fitness_goals_5_c	u_fitness_goals_6_c	u_fitness_goals_7_c	u_fitness_goals_8_c	u_fitness_goals_9_c	u_fitness_goals_10_c	u_fitness_goals_11_c	u_fitness_goals_12_c	u_fitness_goals_13_c	u_fitness_goals_14_c	u_fitness_goals_15_c	u_fitness_goals_16_c	u_preferred_training_types_1_c	u_preferred_training_types_2_c	u_preferred_training_types_3_c	u_preferred_training_types_4_c	u_preferred_training_types_5_c	u_preferred_training_types_6_c	u_preferred_training_types_7_c	u_preferred_training_types_8_c	u_preferred_training_types_9_c	u_preferred_training_types_10_c	u_preferred_training_types_11_c	u_preferred_training_types_12_c	u_preferred_training_types_13_c	u_intensity_level_1_c	u_intensity_level_2_c	u_intensity_level_3_c	u_intensity_level_4_c	u_time_preferences_1_c	u_time_preferences_2_c	u_time_preferences_3_c	u_seasonal_preferences_1_c	u_seasonal_preferences_2_c	u_seasonal_preferences_3_c	u_seasonal_preferences_4_c	u_best_sport_c	u_duration_years_c	u_skill_level_c
1	4	168.0	65.0	2	3	2	4	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	0	3	4	2
2	4	187.0	78.0	1	1	4	5	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	1	1	1	1	1	1	62	4	3
3	4	168.0	49.0	2	2	5	2	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	1	1	1	42	2	2
4	2	162.0	60.0	2	3	2	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	3	3	2
5	3	165.0	68.0	1	1	3	3	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	49	4	2
6	4	160.0	60.0	2	1	5	3	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	1	0	64	2	1
7	4	170.0	64.0	1	3	2	4	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	62	1	2
8	4	175.0	78.0	1	1	2	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	1	1	3	4	2
9	2	156.0	45.0	3	2	4	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	8	5	4
10	4	164.0	58.0	2	3	3	2	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	6	6	3
